1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
Final 0
