1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
16	0	0	0
17	0	0	1
18	0	0	1
19	9	0	1
20	9	0	0
21	8	1	0
22	8	1	0
24	8	1	0
25	11	1	0
26	17	1	0
27	18	3	0
28	18	4	0
29	17	5	0
30	18	5	0
32	17	6	0
33	26	7	0
34	38	8	0
35	36	10	0
36	34	12	0
37	33	13	0
38	32	14	0
40	30	16	0
41	38	20	0
42	42	22	0
43	43	23	0
44	40	26	0
45	40	27	0
46	41	27	0
48	41	27	0
49	46	29	0
50	54	32	0
51	58	37	0
52	56	40	0
53	56	41	0
54	56	41	0
56	53	44	0
57	52	45	0
58	51	46	0
59	48	49	0
60	46	51	0
61	44	53	0
62	43	54	0
64	40	57	0
65	42	58	0
66	49	61	0
67	58	63	0
68	66	64	0
69	63	68	0
70	61	71	0
72	60	73	0
73	80	75	0
74	102	80	0
75	119	82	0
76	142	87	0
77	161	91	0
78	155	100	0
80	152	104	0
81	181	109	0
82	244	114	0
83	360	124	0
84	529	136	0
85	653	158	0
86	633	189	0
88	602	222	0
89	837	247	0
90	1225	279	0
91	1605	335	0
92	1979	413	0
93	2297	514	0
94	2216	621	0
96	2123	719	0
97	2469	812	0
98	2951	940	0
99	3251	1078	0
100	3356	1220	0
101	3397	1363	0
102	3257	1511	0
104	3102	1666	0
105	3000	1795	0
106	2935	1913	0
107	2863	2045	0
108	2815	2165	0
109	2725	2295	0
110	2596	2431	0
112	2464	2563	0
113	2383	2661	0
114	2331	2770	0
115	2327	2885	0
116	2327	2997	0
117	2304	3089	0
118	2224	3178	0
120	2122	3280	0
121	2250	3389	0
122	2520	3480	0
123	2680	3600	0
124	2811	3721	0
125	2840	3835	0
126	2716	3965	0
128	2615	4069	0
129	2700	4173	0
130	2803	4289	0
131	2843	4405	0
132	2858	4531	0
133	2841	4648	0
134	2724	4775	0
136	2569	4930	0
137	2537	5057	0
138	2572	5151	0
139	2569	5271	0
140	2605	5357	0
141	2586	5461	0
